<<<<<<< HEAD
15,D15,ACP-01,ACP,ACP_FULL,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
16,D16,ACP-01,ACP,ACP_FULL,B,8,DA,DA_Duress_Alarm
17,D17,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
18,D18,ACP-02,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
19,D19,ACP-02,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed
20,D20,ACP-02,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
21,D21,ACP-02,ACP,ACP_FULL,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
22,D22,ACP-02,ACP,ACP_FULL,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
23,D23,ACP-02,ACP,ACP_FULL,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
24,D24,ACP-02,ACP,ACP_FULL,B,8,DA,DA_Duress_Alarm
25,D25,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
26,D26,ACP-02,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
27,D27,ACP-02,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed
28,D28,ACP-02,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
29,D29,ACP-02,ACP,ACP_FULL,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
30,D30,ACP-02,ACP,ACP_FULL,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
31,D31,ACP-02,ACP,ACP_FULL,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
32,D32,ACP-02,ACP,ACP_FULL,B,8,DA,DA_Duress_Alarm
33,D33,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
34,D34,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
35,D35,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,B,3,DC,DC_Door_Contact_Recessed
36,D36,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
37,D37,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
38,D38,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
39,D39,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
40,D40,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,B,8,DA,DA_Duress_Alarm
41,D41,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX"
42,D42,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike"
43,D43,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,B,3,DC,DC_Door_Contact_Recessed
44,D44,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed"
45,D45,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike"
46,D46,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr"
47,D47,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator"
48,D48,ACP-03,ACP_PS,ACP_FULL_W_Power_Supply,B,8,DA,DA_Duress_Alarm
=======
﻿Order,Door ID,Panel ID,Panel Type,Panel Block Name,Cable(s),Door Type,Devices,Device Block Names,Door Level,Panel Level
1,D01,ACP-01,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX",1,1
2,D02,ACP-01,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike",1,1
3,D03,ACP-01,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed,1,1
4,D04,ACP-01,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed",1,1
5,D05,ACP-01,ACP,ACP_FULL,"A,R",5,"CR,CR,DC,ES","AC_Card_Reader,AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike",1,1
6,D06,ACP-01,ACP,ACP_FULL,A,6,"CR,DC,DC,EP,EP","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr",1,1
7,D07,ACP-01,ACP,ACP_FULL,A,7,"CR,DC,DC,EP,EP,AO","AC_Card_Reader,DC_Door_Contact_Recessed,DC_Door_Contact_Recessed,EP_Electric_Panic_Hdwr,EP_Electric_Panic_Hdwr,AO_Auto_Operator",2,1
8,D08,ACP-01,ACP,ACP_FULL,B,8,DA,DA_Duress_Alarm,2,1
9,D09,ACP-01,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed,ES_Electric_Strike,RX_Motion_REX",2,1
10,D10,ACP-01,ACP,ACP_FULL,A,2,"CR,ES","AC_Card_Reader,ES_Electric_Strike",2,1
11,D11,ACP-01,ACP,ACP_FULL,B,3,DC,DC_Door_Contact_Recessed,2,1
12,D12,ACP-01,ACP,ACP_FULL,A,4,"CR,DC","AC_Card_Reader,DC_Door_Contact_Recessed",2,1
13,D13,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed",2,2
14,D14,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed",2,2
15,D15,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed",2,2
16,D16,ACP-02,ACP,ACP_FULL,A,1,"CR,DC,ES,RX","AC_Card_Reader,DC_Door_Contact_Recessed",2,2
>>>>>>> 34546bd468feb5e2f2d8d836be834b649e45b19c
